ID,Name,Type_1,Type_2,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary,TOTAL
44,Gloom,Grass,Poison,60,65,70,85,75,40,1,FALSE,88
45,Vileplume,Grass,Poison,75,80,85,110,90,50,1,FALSE,132
46,Paras,Bug,Grass,35,70,55,45,55,25,1,FALSE,37
47,Parasect,Bug,Grass,60,95,80,60,80,30,1,FALSE,90
48,Venonat,Bug,Poison,60,55,50,40,55,45,1,FALSE,84
49,Venomoth,Bug,Poison,70,65,60,90,75,90,1,FALSE,114
50,Diglett,Ground,,10,55,25,35,45,95,1,FALSE,14
51,Dugtrio,Ground,,35,80,50,50,70,120,1,FALSE,41
52,Meowth,Normal,,40,45,35,40,40,90,1,FALSE,44
53,Persian,Normal,,65,70,60,65,65,115,1,FALSE,100
54,Psyduck,Water,,50,52,48,65,50,55,1,FALSE,61
55,Golduck,Water,,80,82,78,95,80,85,1,FALSE,148
56,Mankey,Fighting,,40,80,35,35,45,70,1,FALSE,45
57,Primeape,Fighting,,65,105,60,60,70,95,1,FALSE,104
58,Growlithe,Fire,,55,70,45,70,50,60,1,FALSE,75
59,Arcanine,Fire,,90,110,80,100,80,95,1,FALSE,183
60,Poliwag,Water,,40,50,40,40,40,90,1,FALSE,44
61,Poliwhirl,Water,,65,65,65,50,50,90,1,FALSE,99
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,FALSE,183
63,Abra,Psychic,,25,20,15,105,55,90,1,FALSE,23
64,Kadabra,Psychic,,40,35,30,120,70,105,1,FALSE,47
65,Alakazam,Psychic,,55,50,45,135,95,120,1,FALSE,79
65,AlakazamMega Alakazam,Psychic,,55,50,65,175,95,150,1,FALSE,82
66,Machop,Fighting,,70,80,50,35,35,35,1,FALSE,109
67,Machoke,Fighting,,80,100,70,50,60,45,1,FALSE,146
68,Machamp,Fighting,,90,130,80,65,85,55,1,FALSE,182
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,FALSE,63
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,FALSE,98
71,Victreebel,Grass,Poison,80,105,65,100,70,70,1,FALSE,145
72,Tentacool,Water,Poison,40,40,35,50,100,70,1,FALSE,46
73,Tentacruel,Water,Poison,80,70,65,80,120,100,1,FALSE,148
74,Geodude,Rock,Ground,40,80,100,30,30,20,1,FALSE,45
75,Graveler,Rock,Ground,55,95,115,45,45,35,1,FALSE,76
76,Golem,Rock,Ground,80,120,130,55,65,45,1,FALSE,148
77,Ponyta,Fire,,50,85,55,65,65,90,1,FALSE,67
78,Rapidash,Fire,,65,100,70,80,80,105,1,FALSE,105
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,FALSE,174
80,Slowbro,Water,Psychic,95,75,110,100,80,30,1,FALSE,200
80,SlowbroMega Slowbro,Water,Psychic,95,75,180,130,80,30,1,FALSE,202
81,Magnemite,Electric,Steel,25,35,70,95,55,45,1,FALSE,27
82,Magneton,Electric,Steel,50,60,95,120,70,70,1,FALSE,69
83,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,FALSE,70
84,Doduo,Normal,Flying,35,85,45,35,35,75,1,FALSE,38
85,Dodrio,Normal,Flying,60,110,70,60,60,100,1,FALSE,90
86,Seel,Water,,65,45,55,45,70,45,1,FALSE,99
87,Dewgong,Water,Ice,90,70,80,70,95,70,1,FALSE,181
88,Grimer,Poison,,80,80,50,40,50,25,1,FALSE,142
89,Muk,Poison,,105,105,75,65,100,50,1,FALSE,242
90,Shellder,Water,,30,65,100,45,25,40,1,FALSE,30
91,Cloyster,Water,Ice,50,95,180,85,45,70,1,FALSE,70
92,Gastly,Ghost,Poison,30,35,30,100,35,80,1,FALSE,27
93,Haunter,Ghost,Poison,45,50,45,115,55,95,1,FALSE,54
94,Gengar,Ghost,Poison,60,65,60,130,75,110,1,FALSE,91
94,GengarMega Gengar,Ghost,Poison,60,65,80,170,95,130,1,FALSE,94
95,Onix,Rock,Ground,35,45,160,30,45,70,1,FALSE,39
96,Drowzee,Psychic,,60,48,45,43,90,42,1,FALSE,87
97,Hypno,Psychic,,85,73,70,73,115,67,1,FALSE,166
98,Krabby,Water,,30,105,90,25,25,50,1,FALSE,32
99,Kingler,Water,,55,130,115,50,50,75,1,FALSE,82
100,Voltorb,Electric,,40,30,50,55,55,100,1,FALSE,43
101,Electrode,Electric,,60,50,70,80,80,140,1,FALSE,90
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,FALSE,85
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,FALSE,199
104,Cubone,Ground,,50,50,95,40,50,35,1,FALSE,65
105,Marowak,Ground,,60,80,110,50,80,45,1,FALSE,89
106,Hitmonlee,Fighting,,50,120,53,35,110,87,1,FALSE,72
107,Hitmonchan,Fighting,,50,105,79,35,110,76,1,FALSE,70
108,Lickitung,Normal,,90,55,75,60,75,30,1,FALSE,178
109,Koffing,Poison,,40,65,95,60,45,35,1,FALSE,47
110,Weezing,Poison,,65,90,120,85,70,60,1,FALSE,103
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,FALSE,140
112,Rhydon,Ground,Rock,105,130,120,45,45,40,1,FALSE,239
113,Chansey,Normal,,250,5,5,35,105,50,1,FALSE,1262
114,Tangela,Grass,,65,55,115,100,40,60,1,FALSE,99
115,Kangaskhan,Normal,,105,95,80,40,80,90,1,FALSE,240
115,KangaskhanMega Kangaskhan,Normal,,105,125,100,60,100,100,1,FALSE,245
116,Horsea,Water,,30,40,70,70,25,60,1,FALSE,29
117,Seadra,Water,,55,65,95,95,45,85,1,FALSE,75
118,Goldeen,Water,,45,67,60,35,50,63,1,FALSE,53
119,Seaking,Water,,80,92,65,65,80,68,1,FALSE,146
120,Staryu,Water,,30,45,55,70,55,85,1,FALSE,31
121,Starmie,Water,Psychic,60,75,85,100,85,115,1,FALSE,91
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,FALSE,53
123,Scyther,Bug,Flying,70,110,80,55,80,105,1,FALSE,117
124,Jynx,Ice,Psychic,65,50,35,115,95,95,1,FALSE,103
125,Electabuzz,Electric,,65,83,57,95,85,105,1,FALSE,103
126,Magmar,Fire,,65,95,57,100,85,93,1,FALSE,103
127,Pinsir,Bug,,65,125,100,55,70,85,1,FALSE,106
127,PinsirMega Pinsir,Bug,Flying,65,155,120,65,90,105,1,FALSE,111
128,Tauros,Normal,,75,100,95,40,70,110,1,FALSE,132
129,Magikarp,Water,,20,10,55,15,20,80,1,FALSE,14
130,Gyarados,Water,Flying,95,125,79,60,100,81,1,FALSE,203
130,GyaradosMega Gyarados,Water,Dark,95,155,109,70,130,81,1,FALSE,210
131,Lapras,Water,Ice,130,85,80,85,95,60,1,FALSE,357
132,Ditto,Normal,,48,48,48,48,48,48,1,FALSE,56
133,Eevee,Normal,,55,55,50,45,65,55,1,FALSE,73
134,Vaporeon,Water,,130,65,60,110,95,65,1,FALSE,356
135,Jolteon,Electric,,65,65,60,110,95,130,1,FALSE,105
136,Flareon,Fire,,65,130,60,95,110,65,1,FALSE,108
137,Porygon,Normal,,65,60,70,85,75,40,1,FALSE,100
138,Omanyte,Rock,Water,35,40,100,90,55,35,1,FALSE,39
139,Omastar,Rock,Water,70,60,125,115,70,55,1,FALSE,117
140,Kabuto,Rock,Water,30,80,90,55,45,55,1,FALSE,33
141,Kabutops,Rock,Water,60,115,105,65,70,80,1,FALSE,93
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,FALSE,147
142,AerodactylMega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,FALSE,154
143,Snorlax,Normal,,160,110,65,65,110,30,1,FALSE,532
144,Articuno,Ice,Flying,90,85,100,95,125,85,1,TRUE,186
145,Zapdos,Electric,Flying,90,90,85,125,90,100,1,TRUE,184
146,Moltres,Fire,Flying,90,100,90,125,85,90,1,TRUE,183
147,Dratini,Dragon,,41,64,45,50,50,50,1,FALSE,45
148,Dragonair,Dragon,,61,84,65,70,70,70,1,FALSE,91
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,FALSE,190
150,Mewtwo,Psychic,,106,110,90,154,90,130,1,TRUE,249
150,MewtwoMega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,TRUE,253
150,MewtwoMega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,TRUE,254
151,Mew,Psychic,,100,100,100,100,100,100,1,FALSE,222
152,Chikorita,Grass,,45,49,65,49,65,45,2,FALSE,54
153,Bayleef,Grass,,60,62,80,63,80,60,2,FALSE,89
154,Meganium,Grass,,80,82,100,83,100,80,2,FALSE,151
155,Cyndaquil,Fire,,39,52,43,60,50,65,2,FALSE,43
156,Quilava,Fire,,58,64,58,80,65,80,2,FALSE,82
157,Typhlosion,Fire,,78,84,78,109,85,100,2,FALSE,140
158,Totodile,Water,,50,65,64,44,48,43,2,FALSE,63
159,Croconaw,Water,,65,80,80,59,63,58,2,FALSE,101
160,Feraligatr,Water,,85,105,100,79,83,78,2,FALSE,164
161,Sentret,Normal,,35,46,34,35,45,20,2,FALSE,34
162,Furret,Normal,,85,76,64,45,55,90,2,FALSE,160
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,FALSE,84
164,Noctowl,Normal,Flying,100,50,50,76,96,70,2,FALSE,218
165,Ledyba,Bug,Flying,40,20,30,40,80,55,2,FALSE,44
166,Ledian,Bug,Flying,55,35,50,55,110,85,2,FALSE,76
167,Spinarak,Bug,Poison,40,60,40,40,40,30,2,FALSE,43
168,Ariados,Bug,Poison,70,90,70,60,60,40,2,FALSE,113
169,Crobat,Poison,Flying,85,90,80,70,80,130,2,FALSE,163
170,Chinchou,Water,Electric,75,38,38,56,56,67,2,FALSE,125
171,Lanturn,Water,Electric,125,58,58,76,76,67,2,FALSE,328
172,Pichu,Electric,,20,40,15,35,35,60,2,FALSE,17
173,Cleffa,Fairy,,50,25,28,45,55,15,2,FALSE,60
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,FALSE,169
175,Togepi,Fairy,,35,20,65,40,65,20,2,FALSE,36
176,Togetic,Fairy,Flying,55,40,85,80,105,40,2,FALSE,78
177,Natu,Psychic,Flying,40,50,45,70,45,70,2,FALSE,44
178,Xatu,Psychic,Flying,65,75,70,95,70,95,2,FALSE,103
179,Mareep,Electric,,55,40,40,65,45,35,2,FALSE,70
180,Flaaffy,Electric,,70,55,55,80,60,45,2,FALSE,112
181,Ampharos,Electric,,90,75,85,115,90,55,2,FALSE,183
181,AmpharosMega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,FALSE,185
182,Bellossom,Grass,,75,80,95,90,100,50,2,FALSE,134
183,Marill,Water,Fairy,70,20,50,20,50,40,2,FALSE,108
184,Azumarill,Water,Fairy,100,50,80,60,80,50,2,FALSE,216
185,Sudowoodo,Rock,,70,100,115,30,65,30,2,FALSE,117
186,Politoed,Water,,90,75,75,90,100,70,2,FALSE,180
187,Hoppip,Grass,Flying,35,35,40,35,55,50,2,FALSE,37
188,Skiploom,Grass,Flying,55,45,50,45,65,80,2,FALSE,75
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,FALSE,131
190,Aipom,Normal,,55,70,55,40,55,85,2,FALSE,75
191,Sunkern,Grass,,30,30,30,30,30,30,2,FALSE,27
192,Sunflora,Grass,,75,75,55,105,85,30,2,FALSE,130
193,Yanma,Bug,Flying,65,65,45,75,45,95,2,FALSE,97
194,Wooper,Water,Ground,55,45,45,25,25,15,2,FALSE,68
195,Quagsire,Water,Ground,95,85,85,65,65,35,2,FALSE,196
196,Espeon,Psychic,,65,65,60,130,95,110,2,FALSE,104
197,Umbreon,Dark,,95,65,110,60,130,65,2,FALSE,202
198,Murkrow,Dark,Flying,60,85,42,85,42,91,2,FALSE,86
199,Slowking,Water,Psychic,95,75,80,100,110,30,2,FALSE,200
200,Misdreavus,Ghost,,60,60,60,85,85,85,2,FALSE,89
201,Unown,Psychic,,48,72,48,72,48,48,2,FALSE,59
202,Wobbuffet,Psychic,,190,33,58,33,58,33,2,FALSE,735
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,FALSE,116
204,Pineco,Bug,,50,65,90,35,35,15,2,FALSE,62
205,Forretress,Bug,Steel,75,90,140,60,60,40,2,FALSE,131
206,Dunsparce,Normal,,100,70,70,65,65,45,2,FALSE,216
207,Gligar,Ground,Flying,65,75,105,35,65,85,2,FALSE,103
208,Steelix,Steel,Ground,75,85,200,55,65,30,2,FALSE,132
208,SteelixMega Steelix,Steel,Ground,75,125,230,55,95,30,2,FALSE,141
209,Snubbull,Fairy,,60,80,50,40,40,30,2,FALSE,84
210,Granbull,Fairy,,90,120,75,60,60,45,2,FALSE,179
211,Qwilfish,Water,Poison,65,95,75,55,55,85,2,FALSE,100
212,Scizor,Bug,Steel,70,130,100,55,80,65,2,FALSE,121
212,ScizorMega Scizor,Bug,Steel,70,150,140,65,100,75,2,FALSE,126
213,Shuckle,Bug,Rock,20,10,230,10,230,5,2,FALSE,38
214,Heracross,Bug,Fighting,80,125,75,40,95,85,2,FALSE,151
214,HeracrossMega Heracross,Bug,Fighting,80,185,115,40,105,75,2,FALSE,157
215,Sneasel,Dark,Ice,55,95,55,35,75,115,2,FALSE,80
216,Teddiursa,Normal,,60,80,50,50,50,40,2,FALSE,85
217,Ursaring,Normal,,90,130,75,75,75,55,2,FALSE,182
218,Slugma,Fire,,40,40,40,70,40,20,2,FALSE,43
219,Magcargo,Fire,Rock,50,50,120,80,80,30,2,FALSE,68
220,Swinub,Ice,Ground,50,50,40,30,30,50,2,FALSE,59
221,Piloswine,Ice,Ground,100,100,80,60,60,50,2,FALSE,218
222,Corsola,Water,Rock,55,55,85,65,85,35,2,FALSE,77
223,Remoraid,Water,,35,65,35,65,35,65,2,FALSE,36
224,Octillery,Water,,75,105,75,105,75,45,2,FALSE,132
225,Delibird,Ice,Flying,45,55,45,65,45,75,2,FALSE,52
226,Mantine,Water,Flying,65,40,70,80,140,70,2,FALSE,104
227,Skarmory,Steel,Flying,65,80,140,40,70,70,2,FALSE,104
228,Houndour,Dark,Fire,45,60,30,80,50,65,2,FALSE,52
229,Houndoom,Dark,Fire,75,90,50,110,80,95,2,FALSE,131
229,HoundoomMega Houndoom,Dark,Fire,75,90,90,140,90,115,2,FALSE,136
230,Kingdra,Water,Dragon,75,95,95,95,95,85,2,FALSE,135
231,Phanpy,Ground,,90,60,60,40,40,40,2,FALSE,175
232,Donphan,Ground,,90,120,120,60,60,50,2,FALSE,181
233,Porygon2,Normal,,85,80,90,105,95,60,2,FALSE,163
234,Stantler,Normal,,73,95,62,85,65,85,2,FALSE,124
235,Smeargle,Normal,,55,20,35,20,45,75,2,FALSE,70
236,Tyrogue,Fighting,,35,35,35,35,35,35,2,FALSE,32
237,Hitmontop,Fighting,,50,95,95,35,110,70,2,FALSE,71
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,FALSE,53
239,Elekid,Electric,,45,63,37,65,55,95,2,FALSE,53
240,Magby,Fire,,45,75,37,70,55,83,2,FALSE,55
241,Miltank,Normal,,95,80,105,40,70,100,2,FALSE,199
242,Blissey,Normal,,255,10,10,75,135,55,2,FALSE,1316
243,Raikou,Electric,,90,85,75,115,100,115,2,TRUE,185
244,Entei,Fire,,115,115,85,90,75,100,2,TRUE,285
245,Suicune,Water,,100,75,115,90,115,85,2,TRUE,222
246,Larvitar,Rock,Ground,50,64,50,45,50,41,2,FALSE,62
247,Pupitar,Rock,Ground,70,84,70,65,70,51,2,FALSE,114
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,FALSE,225
248,TyranitarMega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,FALSE,229
249,Lugia,Psychic,Flying,106,90,130,90,154,110,2,TRUE,254
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,TRUE,253
251,Celebi,Psychic,Grass,100,100,100,100,100,100,2,FALSE,222
252,Treecko,Grass,,40,45,35,65,55,70,3,FALSE,43
253,Grovyle,Grass,,50,65,45,85,65,95,3,FALSE,66
254,Sceptile,Grass,,70,85,65,105,85,120,3,FALSE,117
254,SceptileMega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,FALSE,120
255,Torchic,Fire,,45,60,40,70,50,45,3,FALSE,52
256,Combusken,Fire,Fighting,60,85,60,85,60,55,3,FALSE,88
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,FALSE,150
257,BlazikenMega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,FALSE,154
258,Mudkip,Water,,50,70,50,50,50,40,3,FALSE,63
259,Marshtomp,Water,Ground,70,85,70,60,70,50,3,FALSE,116
260,Swampert,Water,Ground,100,110,90,85,90,60,3,FALSE,223
260,SwampertMega Swampert,Water,Ground,100,150,110,95,110,70,3,FALSE,226
261,Poochyena,Dark,,35,55,35,30,30,35,3,FALSE,34
262,Mightyena,Dark,,70,90,70,60,60,70,3,FALSE,114
263,Zigzagoon,Normal,,38,30,41,30,41,60,3,FALSE,38
264,Linoone,Normal,,78,70,61,50,61,100,3,FALSE,137
265,Wurmple,Bug,,45,45,35,20,30,20,3,FALSE,50
266,Silcoon,Bug,,50,35,55,25,25,15,3,FALSE,57
267,Beautifly,Bug,Flying,60,70,50,100,50,65,3,FALSE,86
268,Cascoon,Bug,,50,35,55,25,25,15,3,FALSE,58
269,Dustox,Bug,Poison,60,50,70,50,90,65,3,FALSE,88
270,Lotad,Water,Grass,40,30,30,40,50,30,3,FALSE,40
271,Lombre,Water,Grass,60,50,50,60,70,50,3,FALSE,86
272,Ludicolo,Water,Grass,80,70,70,90,100,70,3,FALSE,146
273,Seedot,Grass,,40,40,50,30,30,30,3,FALSE,41
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,FALSE,110
275,Shiftry,Grass,Dark,90,100,60,90,60,80,3,FALSE,179
276,Taillow,Normal,Flying,40,55,30,30,30,85,3,FALSE,43
277,Swellow,Normal,Flying,60,85,60,50,50,125,3,FALSE,88
278,Wingull,Water,Flying,40,30,30,55,30,85,3,FALSE,41
279,Pelipper,Water,Flying,60,50,100,85,70,65,3,FALSE,87
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,FALSE,22
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,FALSE,39
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,FALSE,112
282,GardevoirMega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,FALSE,117
283,Surskit,Bug,Water,40,30,32,50,52,65,3,FALSE,44
284,Masquerain,Bug,Flying,70,60,62,80,82,60,3,FALSE,115
285,Shroomish,Grass,,60,40,60,40,60,35,3,FALSE,83
286,Breloom,Grass,Fighting,60,130,80,60,60,70,3,FALSE,90
287,Slakoth,Normal,,60,60,60,35,35,30,3,FALSE,83
288,Vigoroth,Normal,,80,80,80,55,55,90,3,FALSE,143
289,Slaking,Normal,,150,160,100,95,65,100,3,FALSE,474
290,Nincada,Bug,Ground,31,45,90,30,30,40,3,FALSE,30
291,Ninjask,Bug,Flying,61,90,45,50,50,160,3,FALSE,90
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,FALSE,13
293,Whismur,Normal,,64,51,23,51,23,28,3,FALSE,90
294,Loudred,Normal,,84,71,43,71,43,48,3,FALSE,154
295,Exploud,Normal,,104,91,63,91,73,68,3,FALSE,235
296,Makuhita,Fighting,,72,60,30,20,30,25,3,FALSE,113
297,Hariyama,Fighting,,144,120,60,40,60,50,3,FALSE,432
298,Azurill,Normal,Fairy,50,20,40,20,40,20,3,FALSE,57
299,Nosepass,Rock,,30,45,135,45,90,30,3,FALSE,37
300,Skitty,Normal,,50,45,45,35,35,50,3,FALSE,59
301,Delcatty,Normal,,70,65,65,55,55,70,3,FALSE,114
302,Sableye,Dark,Ghost,50,75,75,65,65,50,3,FALSE,65
302,SableyeMega Sableye,Dark,Ghost,50,85,125,85,115,20,3,FALSE,74
303,Mawile,Steel,Fairy,50,85,85,55,55,50,3,FALSE,66
303,MawileMega Mawile,Steel,Fairy,50,105,125,55,95,50,3,FALSE,72
304,Aron,Steel,Rock,50,70,100,40,40,30,3,FALSE,64
305,Lairon,Steel,Rock,60,90,140,50,50,40,3,FALSE,89
306,Aggron,Steel,Rock,70,110,180,60,60,50,3,FALSE,120
306,AggronMega Aggron,Steel,,70,140,230,60,80,50,3,FALSE,125
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,FALSE,30
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,FALSE,88
308,MedichamMega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,FALSE,92
309,Electrike,Electric,,40,45,40,65,40,65,3,FALSE,43
310,Manectric,Electric,,70,75,60,105,60,105,3,FALSE,114
310,ManectricMega Manectric,Electric,,70,75,80,135,80,135,3,FALSE,118
311,Plusle,Electric,,60,50,40,85,75,95,3,FALSE,88
312,Minun,Electric,,60,40,50,75,85,95,3,FALSE,87
313,Volbeat,Bug,,65,73,55,47,75,85,3,FALSE,99
314,Illumise,Bug,,65,47,55,73,75,85,3,FALSE,99
315,Roselia,Grass,Poison,50,60,45,100,80,65,3,FALSE,65
316,Gulpin,Poison,,70,43,53,43,53,40,3,FALSE,109
317,Swalot,Poison,,100,73,83,73,83,55,3,FALSE,219
318,Carvanha,Water,Dark,45,90,20,65,20,65,3,FALSE,52
319,Sharpedo,Water,Dark,70,120,40,95,40,95,3,FALSE,114
319,SharpedoMega Sharpedo,Water,Dark,70,140,70,110,65,105,3,FALSE,118
320,Wailmer,Water,,130,70,35,70,35,60,3,FALSE,350
321,Wailord,Water,,170,90,45,90,45,60,3,FALSE,592
322,Numel,Fire,Ground,60,60,40,65,45,35,3,FALSE,85
323,Camerupt,Fire,Ground,70,100,70,105,75,40,3,FALSE,116
323,CameruptMega Camerupt,Fire,Ground,70,120,100,145,105,20,3,FALSE,122
324,Torkoal,Fire,,70,85,140,85,70,20,3,FALSE,119
325,Spoink,Psychic,,60,25,35,70,80,60,3,FALSE,83
326,Grumpig,Psychic,,80,45,65,90,110,80,3,FALSE,147
327,Spinda,Normal,,60,60,60,60,60,60,3,FALSE,87
328,Trapinch,Ground,,45,100,45,45,45,10,3,FALSE,53
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,FALSE,63
330,Flygon,Ground,Dragon,80,100,80,80,80,100,3,FALSE,148
331,Cacnea,Grass,,50,85,40,85,40,35,3,FALSE,63
332,Cacturne,Grass,Dark,70,115,60,115,60,55,3,FALSE,116
333,Swablu,Normal,Flying,45,40,60,40,75,50,3,FALSE,54
334,Altaria,Dragon,Flying,75,70,90,70,105,80,3,FALSE,132
334,AltariaMega Altaria,Dragon,Fairy,75,110,110,110,105,80,3,FALSE,137
335,Zangoose,Normal,,73,115,60,60,60,90,3,FALSE,125
336,Seviper,Poison,,73,100,60,100,60,65,3,FALSE,123
337,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,FALSE,116
338,Solrock,Rock,Psychic,70,95,85,55,65,70,3,FALSE,115
339,Barboach,Water,Ground,50,48,43,46,41,60,3,FALSE,62
340,Whiscash,Water,Ground,110,78,73,76,71,60,3,FALSE,259
341,Corphish,Water,,43,80,65,50,35,35,3,FALSE,49
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,FALSE,100
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,FALSE,46
344,Claydol,Ground,Psychic,60,70,105,70,120,75,3,FALSE,95
345,Lileep,Rock,Grass,66,41,77,61,87,23,3,FALSE,103
346,Cradily,Rock,Grass,86,81,97,81,107,43,3,FALSE,168
347,Anorith,Rock,Bug,45,95,50,40,50,75,3,FALSE,55
348,Armaldo,Rock,Bug,75,125,100,70,80,45,3,FALSE,133
349,Feebas,Water,,20,15,20,10,55,80,3,FALSE,18
350,Milotic,Water,,95,60,79,100,125,81,3,FALSE,202
351,Castform,Normal,,70,70,70,70,70,70,3,FALSE,115
352,Kecleon,Normal,,60,90,70,60,120,40,3,FALSE,92
353,Shuppet,Ghost,,44,75,35,63,33,45,3,FALSE,50
